Returned ,Delivery days,Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Product ID,Category,Sub-Category,Sales,Quantity,Profit,Region,Ship Date,Discount,order date,Product Name,Return Reason,Notes,Reason,Approver
no,4,40,CA-2016-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,FUR-CH-10004218,Furniture,Chairs,212.058,3,-15.147,Central,31-12-2016 00:00:00,0.3,27-12-2016 00:00:00,"Global Fabric Manager's Chair, Dark Gray",,,,
no,4,41,CA-2016-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,TEC-PH-10000486,Technology,Phones,371.168,4,41.7564,Central,31-12-2016 00:00:00,0.2,27-12-2016 00:00:00,Plantronics HL10 Handset Lifter,,,,
no,5,42,CA-2018-120999,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,TEC-PH-10004093,Technology,Phones,147.168,4,16.5564,Central,15-09-2018 00:00:00,0.2,10-09-2018 00:00:00,Panasonic Kx-TS550,,,,
no,2,45,CA-2017-118255,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,TEC-AC-10000171,Technology,Accessories,45.98,2,19.7714,Central,13-03-2017 00:00:00,0,11-03-2017 00:00:00,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",,,,
no,2,46,CA-2017-118255,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,OFF-BI-10003291,Office Supplies,Binders,17.46,2,8.2062,Central,13-03-2017 00:00:00,0,11-03-2017 00:00:00,Wilson Jones Leather-Like Binders with DublLock Round Rings,,,,
no,5,47,CA-2015-146703,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,OFF-ST-10001713,Office Supplies,Storage,211.96,4,8.4784,Central,25-10-2015 00:00:00,0,20-10-2015 00:00:00,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",,,,
no,4,50,CA-2016-115742,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,OFF-BI-10004410,Office Supplies,Binders,38.22,6,17.9634,Central,22-04-2016 00:00:00,0,18-04-2016 00:00:00,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",,,,
no,4,51,CA-2016-115742,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,OFF-LA-10002762,Office Supplies,Labels,75.18,6,35.3346,Central,22-04-2016 00:00:00,0,18-04-2016 00:00:00,Avery 485,,,,
no,4,52,CA-2016-115742,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,FUR-FU-10001706,Furniture,Furnishings,6.16,2,2.9568,Central,22-04-2016 00:00:00,0,18-04-2016 00:00:00,Longer-Life Soft White Bulbs,,,,
no,4,53,CA-2016-115742,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,FUR-CH-10003061,Furniture,Chairs,89.99,1,17.0981,Central,22-04-2016 00:00:00,0,18-04-2016 00:00:00,"Global Leather Task Chair, Black",,,,
no,5,67,US-2016-164175,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,FUR-CH-10001146,Furniture,Chairs,213.115,5,-15.2225,Central,05-05-2016 00:00:00,0.3,30-04-2016 00:00:00,"Global Value Mid-Back Manager's Chair, Gray",,,,
no,3,72,CA-2018-114440,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,OFF-PA-10004675,Office Supplies,Paper,19.05,3,8.763,Central,17-09-2018 00:00:00,0,14-09-2018 00:00:00,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",,,,
no,2,76,US-2018-118038,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,OFF-BI-10004182,Office Supplies,Binders,1.248,3,-1.9344,Central,11-12-2018 00:00:00,0.8,09-12-2018 00:00:00,Economy Binders,,,,
no,2,77,US-2018-118038,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,FUR-FU-10000260,Furniture,Furnishings,9.708,3,-5.8248,Central,11-12-2018 00:00:00,0.6,09-12-2018 00:00:00,"6"" Cubicle Wall Clock, Black",,,,
no,2,78,US-2018-118038,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,OFF-ST-10000615,Office Supplies,Storage,27.24,3,2.724,Central,11-12-2018 00:00:00,0.2,09-12-2018 00:00:00,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",,,,
no,5,79,US-2015-147606,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,FUR-FU-10003194,Furniture,Furnishings,19.3,5,-14.475,Central,01-12-2015 00:00:00,0.6,26-11-2015 00:00:00,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",,,,
no,3,85,US-2018-119662,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,OFF-ST-10003656,Office Supplies,Storage,230.376,3,-48.9549,Central,16-11-2018 00:00:00,0.2,13-11-2018 00:00:00,Safco Industrial Wire Shelving,,,,
no,7,87,CA-2018-155558,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,TEC-AC-10001998,Technology,Accessories,19.99,1,6.7966,Central,02-11-2018 00:00:00,0,26-10-2018 00:00:00,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,,,,
no,7,88,CA-2018-155558,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,OFF-LA-10000134,Office Supplies,Labels,6.16,2,2.9568,Central,02-11-2018 00:00:00,0,26-10-2018 00:00:00,Avery 511,,,,
no,5,89,CA-2017-159695,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,OFF-ST-10003442,Office Supplies,Storage,158.368,7,13.8572,Central,10-04-2017 00:00:00,0.2,05-04-2017 00:00:00,Eldon Portable Mobile Manager,,,,
no,5,93,CA-2016-149587,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,OFF-PA-10003177,Office Supplies,Paper,12.96,2,6.2208,Central,05-02-2016 00:00:00,0,31-01-2016 00:00:00,Xerox 1999,,,,
no,5,94,CA-2016-149587,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,FUR-FU-10003799,Furniture,Furnishings,53.34,3,16.5354,Central,05-02-2016 00:00:00,0,31-01-2016 00:00:00,"Seth Thomas 13 1/2"" Wall Clock",,,,
no,5,95,CA-2016-149587,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,OFF-BI-10002852,Office Supplies,Binders,32.96,2,16.1504,Central,05-02-2016 00:00:00,0,31-01-2016 00:00:00,Ibico Standard Transparent Covers,,,,
no,5,99,CA-2017-149223,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,OFF-AP-10000358,Office Supplies,Appliances,77.88,6,22.5852,Central,11-09-2017 00:00:00,0,06-09-2017 00:00:00,Fellowes Basic Home/Office Series Surge Protectors,,,,
no,4,100,CA-2017-158568,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,OFF-PA-10003256,Office Supplies,Paper,64.624,7,22.6184,Central,02-09-2017 00:00:00,0.2,29-08-2017 00:00:00,Avery Personal Creations Heavyweight Cards,,,,
no,4,101,CA-2017-158568,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,TEC-AC-10001767,Technology,Accessories,95.976,3,-10.7973,Central,02-09-2017 00:00:00,0.2,29-08-2017 00:00:00,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,,,,
no,4,102,CA-2017-158568,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,OFF-BI-10002609,Office Supplies,Binders,1.788,3,-3.0396,Central,02-09-2017 00:00:00,0.8,29-08-2017 00:00:00,Avery Hidden Tab Dividers for Binding Systems,,,,
no,3,103,CA-2017-129903,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,OFF-PA-10004040,Office Supplies,Paper,23.92,4,11.7208,Central,04-12-2017 00:00:00,0,01-12-2017 00:00:00,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),,,,
no,5,110,CA-2016-129476,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,TEC-AC-10000844,Technology,Accessories,339.96,5,67.992,Central,20-10-2016 00:00:00,0.2,15-10-2016 00:00:00,Logitech Gaming G510s - Keyboard,,,,
no,7,112,CA-2017-128867,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,OFF-AR-10000380,Office Supplies,Art,75.96,2,22.788,Central,10-11-2017 00:00:00,0,03-11-2017 00:00:00,"Hunt PowerHouse Electric Pencil Sharpener, Blue",,,,
no,7,113,CA-2017-128867,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,OFF-BI-10003981,Office Supplies,Binders,27.24,6,13.3476,Central,10-11-2017 00:00:00,0,03-11-2017 00:00:00,"Avery Durable Plastic 1"" Binders",,,,
no,2,125,US-2015-152030,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,FUR-CH-10004063,Furniture,Chairs,600.558,3,-8.5794,Central,28-12-2015 00:00:00,0.3,26-12-2015 00:00:00,Global Deluxe High-Back Manager's Chair,,,,
no,5,126,US-2015-134614,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,FUR-TA-10004534,Furniture,Tables,617.7,6,-407.682,Central,25-09-2015 00:00:00,0.5,20-09-2015 00:00:00,Bevis 44 x 96 Conference Tables,,,,
no,5,145,CA-2018-155376,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,OFF-AP-10001058,Office Supplies,Appliances,839.43,3,218.2518,Central,27-12-2018 00:00:00,0,22-12-2018 00:00:00,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,,,,
no,4,148,CA-2017-114489,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,TEC-PH-10000215,Technology,Phones,384.45,11,103.8015,Central,09-12-2017 00:00:00,0,05-12-2017 00:00:00,Plantronics Cordless Phone Headset with In-line Volume - M214C,,,,
no,4,149,CA-2017-114489,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,TEC-PH-10001448,Technology,Phones,149.97,3,5.9988,Central,09-12-2017 00:00:00,0,05-12-2017 00:00:00,Anker Astro 15000mAh USB Portable Charger,,,,
no,4,150,CA-2017-114489,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,FUR-CH-10000454,Furniture,Chairs,1951.84,8,585.552,Central,09-12-2017 00:00:00,0,05-12-2017 00:00:00,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",,,,
no,4,151,CA-2017-114489,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,OFF-BI-10002735,Office Supplies,Binders,171.55,5,80.6285,Central,09-12-2017 00:00:00,0,05-12-2017 00:00:00,GBC Prestige Therm-A-Bind Covers,,,,
no,4,159,CA-2017-114104,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,OFF-LA-10002475,Office Supplies,Labels,14.62,2,6.8714,Central,24-11-2017 00:00:00,0,20-11-2017 00:00:00,Avery 519,,,,
no,4,160,CA-2017-114104,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,TEC-PH-10004536,Technology,Phones,944.93,7,236.2325,Central,24-11-2017 00:00:00,0,20-11-2017 00:00:00,Avaya 5420 Digital phone,,,,
no,4,165,CA-2015-139892,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,OFF-AR-10004441,Office Supplies,Art,9.936,3,2.7324,Central,12-09-2015 00:00:00,0.2,08-09-2015 00:00:00,BIC Brite Liner Highlighters,,,,
no,4,166,CA-2015-139892,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,TEC-MA-10000822,Technology,Machines,8159.952,8,-1359.992,Central,12-09-2015 00:00:00,0.4,08-09-2015 00:00:00,Lexmark MX611dhe Monochrome Laser Printer,,,,
no,4,167,CA-2015-139892,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,OFF-ST-10000991,Office Supplies,Storage,275.928,3,-58.6347,Central,12-09-2015 00:00:00,0.2,08-09-2015 00:00:00,Space Solutions HD Industrial Steel Shelving.,,,,
no,4,168,CA-2015-139892,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,FUR-CH-10004287,Furniture,Chairs,1740.06,9,-24.858,Central,12-09-2015 00:00:00,0.3,08-09-2015 00:00:00,SAFCO Arco Folding Chair,,,,
no,4,169,CA-2015-139892,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,OFF-AR-10002656,Office Supplies,Art,32.064,6,6.8136,Central,12-09-2015 00:00:00,0.2,08-09-2015 00:00:00,Sanford Liquid Accent Highlighters,,,,
no,4,170,CA-2015-139892,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,OFF-AP-10002518,Office Supplies,Appliances,177.98,5,-453.849,Central,12-09-2015 00:00:00,0.8,08-09-2015 00:00:00,Kensington 7 Outlet MasterPiece Power Center,,,,
no,4,171,CA-2015-139892,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,TEC-PH-10003931,Technology,Phones,143.976,3,8.9985,Central,12-09-2015 00:00:00,0.2,08-09-2015 00:00:00,JBL Micro Wireless Portable Bluetooth Speaker,,,,
no,5,175,US-2015-100853,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,OFF-AP-10000891,Office Supplies,Appliances,52.448,2,-131.12,Central,19-09-2015 00:00:00,0.8,14-09-2015 00:00:00,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,,,,
no,5,176,US-2015-100853,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,OFF-LA-10003148,Office Supplies,Labels,20.16,4,6.552,Central,19-09-2015 00:00:00,0.2,14-09-2015 00:00:00,Avery 51,,,,
no,4,177,US-2018-152366,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,77036,OFF-AP-10002684,Office Supplies,Appliances,97.264,4,-243.16,Central,25-04-2018 00:00:00,0.8,21-04-2018 00:00:00,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",,,,
no,4,181,CA-2015-166191,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,OFF-ST-10003455,Office Supplies,Storage,24.816,2,1.8612,Central,09-12-2015 00:00:00,0.2,05-12-2015 00:00:00,"Tenex File Box, Personal Filing Tote with Lid, Black",,,,
no,4,182,CA-2015-166191,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,TEC-AC-10004659,Technology,Accessories,408.744,7,76.6395,Central,09-12-2015 00:00:00,0.2,05-12-2015 00:00:00,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,,,,
no,6,188,CA-2017-157000,Standard Class,AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051,OFF-ST-10001328,Office Supplies,Storage,37.224,3,3.7224,Central,22-07-2017 00:00:00,0.2,16-07-2017 00:00:00,"Personal Filing Tote with Lid, Black/Gray",,,,
no,6,189,CA-2017-157000,Standard Class,AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051,OFF-PA-10001950,Office Supplies,Paper,20.016,3,6.255,Central,22-07-2017 00:00:00,0.2,16-07-2017 00:00:00,Southworth 25% Cotton Antique Laid Paper & Envelopes,,,,
no,4,204,US-2018-116701,Second Class,LC-17140,Logan Currie,Consumer,United States,Dallas,Texas,75220,OFF-AP-10003217,Office Supplies,Appliances,66.284,2,-178.9668,Central,21-12-2018 00:00:00,0.8,17-12-2018 00:00:00,Eureka Sanitaire  Commercial Upright,,,,
no,6,207,CA-2018-135860,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,OFF-ST-10000642,Office Supplies,Storage,83.92,4,5.8744,Central,07-12-2018 00:00:00,0,01-12-2018 00:00:00,"Tennsco Lockers, Gray",,,,
no,6,208,CA-2018-135860,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,TEC-PH-10001700,Technology,Phones,131.98,2,35.6346,Central,07-12-2018 00:00:00,0,01-12-2018 00:00:00,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,,,,
no,6,209,CA-2018-135860,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,OFF-BI-10003274,Office Supplies,Binders,15.92,4,7.4824,Central,07-12-2018 00:00:00,0,01-12-2018 00:00:00,"Avery Durable Slant Ring Binders, No Labels",,,,
no,6,210,CA-2018-135860,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,OFF-FA-10000134,Office Supplies,Fasteners,52.29,9,16.2099,Central,07-12-2018 00:00:00,0,01-12-2018 00:00:00,"Advantus Push Pins, Aluminum Head",,,,
no,6,211,CA-2018-135860,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,OFF-ST-10001522,Office Supplies,Storage,91.99,1,3.6796,Central,07-12-2018 00:00:00,0,01-12-2018 00:00:00,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",,,,
no,4,212,CA-2016-101007,Second Class,MS-17980,Michael Stewart,Corporate,United States,Dallas,Texas,75220,TEC-AC-10001266,Technology,Accessories,20.8,2,6.5,Central,13-02-2016 00:00:00,0.2,09-02-2016 00:00:00,Memorex Micro Travel Drive 8 GB,,,,
no,7,226,CA-2016-163055,Standard Class,DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227,OFF-AR-10001026,Office Supplies,Art,2.2,1,0.968,Central,16-08-2016 00:00:00,0,09-08-2016 00:00:00,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",,,,
no,7,227,CA-2016-163055,Standard Class,DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227,FUR-TA-10003748,Furniture,Tables,622.45,5,136.939,Central,16-08-2016 00:00:00,0,09-08-2016 00:00:00,Bevis 36 x 72 Conference Tables,,,,
no,7,228,CA-2016-163055,Standard Class,DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227,OFF-ST-10002485,Office Supplies,Storage,21.98,1,0.2198,Central,16-08-2016 00:00:00,0,09-08-2016 00:00:00,Rogers Deluxe File Chest,,,,
no,5,238,CA-2017-157749,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,OFF-PA-10003349,Office Supplies,Paper,25.92,5,9.396,Central,09-06-2017 00:00:00,0.2,04-06-2017 00:00:00,Xerox 1957,,,,
no,5,239,CA-2017-157749,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,FUR-FU-10000576,Furniture,Furnishings,419.68,5,-356.728,Central,09-06-2017 00:00:00,0.6,04-06-2017 00:00:00,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,,,,
no,5,240,CA-2017-157749,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,FUR-FU-10004351,Furniture,Furnishings,11.688,3,-4.6752,Central,09-06-2017 00:00:00,0.6,04-06-2017 00:00:00,Staple-based wall hangings,,,,
no,5,241,CA-2017-157749,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,TEC-PH-10000011,Technology,Phones,31.984,2,11.1944,Central,09-06-2017 00:00:00,0.2,04-06-2017 00:00:00,PureGear Roll-On Screen Protector,,,,
no,5,242,CA-2017-157749,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,FUR-TA-10002607,Furniture,Tables,177.225,5,-120.513,Central,09-06-2017 00:00:00,0.5,04-06-2017 00:00:00,KI Conference Tables,,,,
no,5,243,CA-2017-157749,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,FUR-FU-10002505,Furniture,Furnishings,4.044,3,-2.8308,Central,09-06-2017 00:00:00,0.6,04-06-2017 00:00:00,Eldon 100 Class Desk Accessories,,,,
no,5,244,CA-2017-157749,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,OFF-AR-10004685,Office Supplies,Art,7.408,2,1.2038,Central,09-06-2017 00:00:00,0.2,04-06-2017 00:00:00,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",,,,
no,5,245,CA-2015-131926,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,FUR-CH-10004063,Furniture,Chairs,2001.86,7,580.5394,Central,06-06-2015 00:00:00,0,01-06-2015 00:00:00,Global Deluxe High-Back Manager's Chair,,,,
no,5,246,CA-2015-131926,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,OFF-ST-10002276,Office Supplies,Storage,166.72,2,41.68,Central,06-06-2015 00:00:00,0,01-06-2015 00:00:00,Safco Steel Mobile File Cart,,,,
no,5,247,CA-2015-131926,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,OFF-PA-10004082,Office Supplies,Paper,47.88,6,23.94,Central,06-06-2015 00:00:00,0,01-06-2015 00:00:00,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",,,,
no,5,248,CA-2015-131926,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,OFF-AP-10002945,Office Supplies,Appliances,1503.25,5,496.0725,Central,06-06-2015 00:00:00,0,01-06-2015 00:00:00,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,,,,
no,5,249,CA-2015-131926,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,OFF-PA-10000061,Office Supplies,Paper,25.92,4,12.4416,Central,06-06-2015 00:00:00,0,01-06-2015 00:00:00,Xerox 205,,,,
no,6,255,US-2016-159982,Standard Class,DR-12880,Dan Reichenbach,Corporate,United States,Chicago,Illinois,60623,FUR-FU-10002505,Furniture,Furnishings,12.132,9,-8.4924,Central,04-12-2016 00:00:00,0.6,28-11-2016 00:00:00,Eldon 100 Class Desk Accessories,,,,
no,6,256,US-2016-159982,Standard Class,DR-12880,Dan Reichenbach,Corporate,United States,Chicago,Illinois,60623,OFF-ST-10004804,Office Supplies,Storage,82.368,2,-19.5624,Central,04-12-2016 00:00:00,0.2,28-11-2016 00:00:00,"Belkin 19"" Vented Equipment Shelf, Black",,,,
no,6,257,US-2016-159982,Standard Class,DR-12880,Dan Reichenbach,Corporate,United States,Chicago,Illinois,60623,OFF-ST-10001590,Office Supplies,Storage,53.92,5,4.044,Central,04-12-2016 00:00:00,0.2,28-11-2016 00:00:00,"Tenex Personal Project File with Scoop Front Design, Black",,,,
no,6,258,US-2016-159982,Standard Class,DR-12880,Dan Reichenbach,Corporate,United States,Chicago,Illinois,60623,TEC-PH-10001580,Technology,Phones,647.904,6,56.6916,Central,04-12-2016 00:00:00,0.2,28-11-2016 00:00:00,Logitech Mobile Speakerphone P710e - speaker phone,,,,
no,4,262,US-2018-155299,Standard Class,Dl-13600,Dorris liebe,Corporate,United States,Pasadena,Texas,77506,OFF-AP-10002203,Office Supplies,Appliances,1.624,2,-4.466,Central,12-06-2018 00:00:00,0.8,08-06-2018 00:00:00,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,,,,
no,2,263,US-2015-106992,Second Class,SB-20290,Sean Braxton,Corporate,United States,Houston,Texas,77036,TEC-MA-10000822,Technology,Machines,3059.982,3,-509.997,Central,21-09-2015 00:00:00,0.4,19-09-2015 00:00:00,Lexmark MX611dhe Monochrome Laser Printer,,,,
no,2,264,US-2015-106992,Second Class,SB-20290,Sean Braxton,Corporate,United States,Houston,Texas,77036,TEC-MA-10003353,Technology,Machines,2519.958,7,-251.9958,Central,21-09-2015 00:00:00,0.4,19-09-2015 00:00:00,Xerox WorkCentre 6505DN Laser Multifunction Printer,,,,
